Time,Irradiance,Temperature,Voltage,Current
2024-05-22 12:44:29.382907,0.0,11.709624274449586,30.0,0.0
2024-05-22 12:45:29.382902,0.0,11.685303876974547,30.0,0.0
2024-05-22 12:46:29.382897,0.0,11.661141779328325,30.0,0.0
2024-05-22 12:47:29.382891,0.0,11.637138441522408,30.0,0.0
2024-05-22 12:48:29.382886,0.0,11.613294320545759,30.0,0.0
2024-05-22 12:49:29.382881,0.0,11.589609870356076,30.0,0.0
2024-05-22 12:50:29.382876,0.0,11.566085541871145,30.0,0.0
2024-05-22 12:51:29.382871,0.0,11.542721782960268,30.0,0.0
2024-05-22 12:52:29.382866,0.0,11.51951903843574,30.0,0.0
2024-05-22 12:53:29.382861,0.0,11.496477750044372,30.0,0.0
2024-05-22 12:54:29.382856,0.0,11.473598356459076,30.0,0.0
2024-05-22 12:55:29.382851,0.0,11.450881293270534,30.0,0.0
2024-05-22 12:56:29.382846,0.0,11.428326992978878,30.0,0.0
2024-05-22 12:57:29.382841,0.0,11.405935884985476,30.0,0.0
2024-05-22 12:58:29.382836,0.0,11.383708395584742,30.0,0.0
2024-05-22 12:59:29.382830,0.0,11.361644947956044,30.0,0.0
2024-05-22 13:00:29.382825,0.0,11.339745962155616,30.0,0.0
2024-05-22 13:01:29.382820,0.0,11.318011855108576,30.0,0.0
2024-05-22 13:02:29.382815,0.0,11.296443040601003,30.0,0.0
2024-05-22 13:03:29.382810,0.0,11.27503992927203,30.0,0.0
2024-05-22 13:04:29.382805,0.0,11.253802928606046,30.0,0.0
2024-05-22 13:05:29.382800,0.0,11.232732442924924,30.0,0.0
2024-05-22 13:06:29.382795,0.0,11.211828873380348,30.0,0.0
2024-05-22 13:07:29.382790,0.0,11.191092617946147,30.0,0.0
2024-05-22 13:08:29.382785,0.0,11.17052407141073,30.0,0.0
2024-05-22 13:09:29.382780,0.0,11.150123625369577,30.0,0.0
2024-05-22 13:10:29.382774,0.0,11.129891668217786,30.0,0.0
2024-05-22 13:11:29.382769,0.0,11.109828585142635,30.0,0.0
2024-05-22 13:12:29.382764,0.0,11.089934758116318,30.0,0.0
2024-05-22 13:13:29.382759,0.0,11.070210565888631,30.0,0.0
2024-05-22 13:14:29.382754,0.0,11.05065638397975,30.0,0.0
2024-05-22 13:15:29.382749,0.0,11.03127258467312,30.0,0.0
2024-05-22 13:16:29.382744,0.0,11.012059537008332,30.0,0.0
2024-05-22 13:17:29.382738,0.0,10.99301760677412,30.0,0.0
2024-05-22 13:18:29.382733,0.0,10.974147156501399,30.0,0.0
2024-05-22 13:19:29.382727,0.0,10.95544854545632,30.0,0.0
2024-05-22 13:20:29.382722,0.0,10.9369221296335,30.0,0.0
2024-05-22 13:21:29.382716,0.0,10.91856826174919,30.0,0.0
2024-05-22 13:22:29.382711,0.0,10.90038729123457,30.0,0.0
2024-05-22 13:23:29.382706,0.0,10.882379564229113,30.0,0.0
2024-05-22 13:24:29.382701,0.0,10.86454542357399,30.0,0.0
2024-05-22 13:25:29.382695,0.0,10.84688520880553,30.0,0.0
2024-05-22 13:26:29.382671,0.0,10.829399256148761,30.0,0.0
2024-05-22 13:27:29.382665,0.0,10.812087898511017,30.0,0.0
2024-05-22 13:28:29.382660,0.0,10.794951465475597,30.0,0.0
2024-05-22 13:29:29.382655,0.0,10.777990283295484,30.0,0.0
2024-05-22 13:30:29.382650,0.0,10.761204674887136,30.0,0.0
2024-05-22 13:31:29.382645,0.0,10.744594959824337,30.0,0.0
2024-05-22 13:32:29.382640,0.0,10.728161454332128,30.0,0.0
2024-05-22 13:33:29.382634,0.0,10.71190447128076,30.0,0.0
2024-05-22 13:34:29.382629,0.0,10.695824320179755,30.0,0.0
2024-05-22 13:35:29.382616,0.0,10.679921307172016,30.0,0.0
2024-05-22 13:36:29.382601,0.0,10.664195735027985,30.0,0.0
2024-05-22 13:37:29.382586,0.0,10.648647903139883,30.0,0.0
2024-05-22 13:38:29.382573,0.0,10.633278107516023,30.0,0.0
2024-05-22 13:39:29.382558,0.0,10.618086640775159,30.0,0.0
2024-05-22 13:40:29.382545,0.0,10.603073792140915,30.0,0.0
2024-05-22 13:41:29.382529,0.0,10.588239847436297,30.0,0.0
2024-05-22 13:42:29.382518,0.0,10.573585089078216,30.0,0.0
2024-05-22 13:43:29.382513,0.0,10.559109796072157,30.0,0.0
2024-05-22 13:44:29.382508,0.0,10.544814244006835,30.0,0.0
2024-05-22 13:45:29.382503,0.0,10.530698705048945,30.0,0.0
2024-05-22 13:46:29.382498,0.0,10.516763447938006,30.0,0.0
2024-05-22 13:47:29.382493,0.0,10.503008737981233,30.0,0.0
2024-05-22 13:48:29.382488,0.0,10.489434837048465,30.0,0.0
2024-05-22 13:49:29.382482,0.0,10.476042003567215,30.0,0.0
2024-05-22 13:50:29.382477,0.0,10.462830492517734,30.0,0.0
2024-05-22 13:51:29.382472,0.0,10.449800555428133,30.0,0.0
2024-05-22 13:52:29.382467,0.0,10.436952440369643,30.0,0.0
2024-05-22 13:53:29.382462,0.0,10.424286391951858,30.0,0.0
2024-05-22 13:54:29.382457,0.0,10.41180265131807,30.0,0.0
2024-05-22 13:55:29.382452,0.0,10.399501456140714,30.0,0.0
2024-05-22 13:56:29.382447,0.0,10.387383040616813,30.0,0.0
2024-05-22 13:57:29.382442,0.0,10.375447635463527,30.0,0.0
2024-05-22 13:58:29.382436,0.0,10.36369546791377,30.0,0.0
2024-05-22 13:59:29.382431,0.0,10.352126761711872,30.0,0.0
2024-05-22 14:00:29.382426,0.0,10.340741737109317,30.0,0.0
2024-05-22 14:01:29.382421,0.0,10.329540610860569,30.0,0.0
2024-05-22 14:02:29.382415,0.0,10.318523596218924,30.0,0.0
2024-05-22 14:03:29.382410,0.0,10.307690902932457,30.0,0.0
2024-05-22 14:04:29.382405,0.0,10.297042737240035,30.0,0.0
2024-05-22 14:05:29.382400,0.0,10.286579301867388,30.0,0.0
2024-05-22 14:06:29.382395,0.0,10.276300796023234,30.0,0.0
2024-05-22 14:07:29.382390,0.0,10.266207415395515,30.0,0.0
2024-05-22 14:08:29.382385,0.0,10.256299352147648,30.0,0.0
